pair_id,textA,textB
1,"Mm, too young, too dumb to realize
That I should've bought you flowers and held your hand
Should've gave you all my hours when I had the chance
Take you to every party 'cause all you wanted to do was dance","I can buy myself flowers Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing
And I can hold my own hand
Yeah I can love me better than you can"

2,"Whether I'm gonna be your wife or
Gonna smash up your bike, I
Haven't decided yet
But I'm gonna get you back
Whether I'm gonna curse you out or
Take you back to my house, I
Haven't decided yet
But I'm gonna get you back","i wanna get him back
i wanna make him really jealous wanna make him feel bad oh i wanna get him back
cuz then again i really miss him and it makes me real sad oh i want sweet revenge
and i want him again"

3,"A-B-C-D-E, F-U
And your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off","I see you driving ′round town with the girl I love
and I'm like,FUCK YOU! Ooo, ooo, oooo
I guess the change in my pocket wasn′t enough
I'm like,FUCK YOU!
And fuck her too."

4,"So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home","Now the day bleeds, into nightfall
and you’re not here, to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved"

5,"I hate you, I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you, I love you
I hate that I want you
You want her, you need her
And I′ll never be her","Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie"

6,"Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now, well, I
I'm all the way up, I swear you'll never bring me down
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now, well, I
I'm all the way up, I swear you'll never, you'll never bring me down","A-B-C-D-E, F-U
And your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off"


7,"Cut the bridge we're on
Cut it down, cut it down, down, cut it, cut it down
Goin' 'til it's gone
Cut it down, cut it down, down, cut it, cut it down
Sabotage it all just to watch it fall
Cut the bridge we're on
Cut it down, cut it down, down, cut it, cut it down","Every bridge we build
You think it′s yours to burn it down
Just burn it down
When everything is gone
You′ll wish you only heard us out
Heard us out
Screaming, mayday
Mayday"


8,"Now the day bleeds, into nightfall
and you’re not here, to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved","I let you cut me open, just to watch me bleed
Gave up who I am for who you wanted me to be
Don't know why I'm hoping for what I won't receive
Falling for the promise of the emptiness machine
The emptiness machine"

